name,status,category,changed_component,n_folds,n_samples,val_mae_mean,val_mae_std,val_rmse_mean,val_r2_mean,delta_mae_vs_full,delta_rmse_vs_full,delta_r2_vs_full,module_effective_direction,hypothesis
full_model,done,reference,none,5,72,3.1528624534606933,0.5399495621751068,3.985565710067749,0.5852898106425208,,,,reference,"8-vessel model with organ global features, one PVP head, and L2 plus shunt loss."
no_organ_global_features,done,module,organ global features,5,72,3.1839210033416747,0.48937216784819126,4.030189895629883,0.5683120229569709,0.031058549880981445,0.04462418556213432,-0.016977787685549917,reference_consistently_better,Tests liver/spleen volumes as global context.
no_global_flow_corrector,done,module,GlobalFlowCorrector,5,72,3.4727470874786377,0.34754784622326085,4.561812067031861,0.4603677024573396,0.3198846340179444,0.5762463569641119,-0.12492210818518124,reference_consistently_better,Tests whether global features improve corrected Q states.
no_flow_graph,done,module,FlowGraphRefiner,5,72,3.2291916370391847,0.5366628467722849,4.3043464660644535,0.51658020690942,0.07632918357849139,0.31878075599670463,-0.06870960373310087,reference_consistently_better,Tests whether CenterlinePoints-aware graph message passing helps.
fixed_physics_params,done,module,LearnablePhysicsLayer parameters,5,72,2.9538305044174193,0.5941691677192806,3.850143051147461,0.6115899208366089,-0.19903194904327393,-0.13542265892028782,0.026300110194088067,variant_consistently_better,Tests learnable physical calibration versus fixed constants.
all_profile_channels,done,geometry,optional profile channels,5,72,3.2124557971954344,0.4265598955482506,4.2371007919311525,0.5270521582672318,0.05959334373474112,0.2515350818634037,-0.058237652375288995,reference_consistently_better,Tests whether optional geometry channels add signal or noise.
use_unreliable_raw_lengths,done,geometry,unreliable raw lengths,5,72,3.0292474746704103,0.33244881582641134,4.027332305908203,0.5823693269533133,-0.12361497879028294,0.04176659584045428,-0.002920483689207498,mixed_or_noisy,Tests whether raw SMV/LPV/RPV lengths should stay excluded.
six_vessel_layout,done,layout,six-vessel layout,5,72,3.1409818172454833,0.14168805535097165,4.174381399154663,0.5519054244743288,-0.011880636215209961,0.1888156890869146,-0.03338438616819206,mixed_or_noisy,Tests merged collateral/TIPS layout.
three_vessel_layout,done,layout,three-vessel layout,5,72,3.1980703353881834,0.520276742607717,4.056831789016724,0.5665376827273536,0.045207881927490146,0.07126607894897496,-0.018752127915167227,reference_consistently_better,Tests compact collateral/MPV/SV layout.
loss_l2_only,done,loss,L2 only,5,72,2.9685494899749756,0.3019096737525792,3.9163581848144533,0.6008938884810082,-0.18431296348571768,-0.06920752525329554,0.015604077838487385,variant_consistently_better,Pure PVP regression supervision.
loss_l2_plus_core_split,done,loss,add core confluence shunt loss,5,72,3.1528624534606933,0.5399495621751068,3.985565710067749,0.5852898106425208,0.0,0.0,0.0,mixed_or_noisy,Tests only the MPV=SMV+SV core confluence constraint.
loss_l2_plus_full_split,done,loss,add full shunt loss,5,72,2.933789110183716,0.2997059751266781,3.8907855987548827,0.6061770856204279,-0.21907334327697736,-0.09478011131286612,0.0208872749779071,variant_consistently_better,Tests the broad split-flow residual.
